probe_id,query,entrezgene,name,symbol,alias,taxid,HGNC,gene,gene_unique
201000_at,AARS,16,alanyl-tRNA synthetase 1,AARS1,"AARS, CMT2N, DEE29, EIEE29, HDLS2",9606,HGNC:20,AARS,AARS
209460_at,ABAT,18,4-aminobutyrate aminotransferase,ABAT,"GABA-AT, GABAT, NPD009",9606,HGNC:23,ABAT,ABAT
203192_at,ABCB6,10058,ATP binding cassette subfamily B member 6 (Langereis blood group),ABCB6,"ABC, LAN, MTABC3, PRP, umat",9606,HGNC:47,ABCB6,ABCB6
209380_s_at,ABCC5,10057,ATP binding cassette subfamily C member 5,ABCC5,"ABC33, EST277145, MOAT-C, MOATC, MRP5",9606,HGNC:56,ABCC5,ABCC5
200045_at,ABCF1,23,ATP binding cassette subfamily F member 1,ABCF1,"ABC27, ABC50",9606,HGNC:70,ABCF1,ABCF1
202394_s_at,ABCF3,55324,ATP binding cassette subfamily F member 3,ABCF3,EST201864,9606,HGNC:72,ABCF3,ABCF3
218581_at,ABHD4,63874,"abhydrolase domain containing 4, N-acyl phospholipase B",ABHD4,ABH4,9606,HGNC:20154,ABHD4,ABHD4
221552_at,ABHD6,57406,"abhydrolase domain containing 6, acylglycerol lipase",ABHD6,,9606,HGNC:21398,ABHD6///LOC643635,ABHD6
202123_s_at,ABL1,25,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,"ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl",9606,HGNC:76,ABL1,ABL1
214274_s_at,ACAA1,30,acetyl-CoA acyltransferase 1,ACAA1,"ACAA, Lnc-Myd88, PTHIO, THIO",9606,HGNC:82,ACAA1,ACAA1
209608_s_at,ACAT2,39,acetyl-CoA acetyltransferase 2,ACAT2,,9606,HGNC:94,ACAT2,ACAT2
202324_s_at,ACBD3,64746,acyl-CoA binding domain containing 3,ACBD3,"GCP60, GOCAP1, GOLPH1, PAP7",9606,HGNC:15453,ACBD3,ACBD3
204617_s_at,ACD,65057,ACD shelterin complex subunit and telomerase recruitment factor,ACD,"PIP1, PTOP, TINT1, TPP1",9606,HGNC:25070,ACD,ACD
210337_s_at,ACLY,47,ATP citrate lyase,ACLY,"ACL, ATPCL, CLATP",9606,HGNC:115,ACLY,ACLY
221641_s_at,ACOT9,23597,acyl-CoA thioesterase 9,ACOT9,"ACATE2, CGI-16, MT-ACT48, MTACT48",9606,HGNC:17152,ACOT9,ACOT9
201963_at,ACSL1,2180,acyl-CoA synthetase long chain family member 1,ACSL1,"ACS1, FACL1, FACL2, LACS, LACS1",9606,HGNC:3569,ACSL1,ACSL1
202604_x_at,ADAM10,102,ADAM metallopeptidase domain 10,ADAM10,"AD10, AD18, CD156c, CDw156, HsT18717",9606,HGNC:188,ADAM10,ADAM10
219384_s_at,ADAT1,23536,adenosine deaminase tRNA specific 1,ADAT1,HADAT1,9606,HGNC:228,ADAT1,ADAT1
204497_at,ADCY9,115,adenylate cyclase 9,ADCY9,"AC9, ACIX",9606,HGNC:240,ADCY9,ADCY9
210473_s_at,GPR125,166647,adhesion G protein-coupled receptor A3,ADGRA3,"GPR125, PGR21, TEM5L",9606,HGNC:13839,GPR125,GPR125
202910_s_at,CD97,30817,adhesion G protein-coupled receptor E2,ADGRE2,"CD312, CD97, EMR2, VBU",9606,HGNC:3337,CD97,CD97
212070_at,GPR56,9289,adhesion G protein-coupled receptor G1,ADGRG1,"BFPP, BPPR, GPR56, TM7LN4, TM7XN1",9606,HGNC:4512,GPR56,GPR56
208847_s_at,ADH5,128,"alcohol dehydrogenase 5 (class III), chi polypeptide",ADH5,"ADH-3, ADHX, AMEDS, BMFS7, FALDH",9606,HGNC:253,ADH5,ADH5
217761_at,ADI1,55256,acireductone dioxygenase 1,ADI1,"APL1, ARD, ARD', Fe-ARD, HMFT1638",9606,HGNC:30576,ADI1,ADI1
212500_at,ADO,84890,2-aminoethanethiol dioxygenase,ADO,C10orf22,9606,HGNC:23506,ADO,ADO
206170_at,ADRB2,154,adrenoceptor beta 2,ADRB2,"ADRB2R, ADRBR, B2AR, BAR, BETA2AR",9606,HGNC:286,ADRB2,ADRB2
201924_at,AFF1,4299,ALF transcription elongation factor 1,AFF1,"AF4, FEL, MLLT2, PBM1",9606,HGNC:7135,AFF1,AFF1
205130_at,RAGE,177,advanced glycosylation end-product specific receptor,AGER,"RAGE, SCARJ1, sRAGE",9606,HGNC:320,RAGE,RAGE
203566_s_at,AGL,178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",AGL,GDE,9606,HGNC:321,AGL,AGL
201675_at,AKAP1,8165,A-kinase anchoring protein 1,AKAP1,"AKAP, AKAP121, AKAP149, AKAP84, D-AKAP1",9606,HGNC:367,AKAP1,AKAP1
203848_at,AKAP8,10270,A-kinase anchoring protein 8,AKAP8,"AKAP 95, AKAP-8, AKAP-95, AKAP95",9606,HGNC:378,AKAP8,AKAP8
218064_s_at,AKAP8L,26993,A-kinase anchoring protein 8 like,AKAP8L,"HA95, HAP95, NAKAP, NAKAP95",9606,HGNC:29857,AKAP8L,AKAP8L
214259_s_at,AKR7A2,8574,aldo-keto reductase family 7 member A2,AKR7A2,"AFAR, AFAR1, AFB1-AR1, AKR7",9606,HGNC:389,AKR7A2,AKR7A2
207163_s_at,AKT1,207,AKT serine/threonine kinase 1,AKT1,"AKT, PKB, PKB-ALPHA, PRKBA, RAC",9606,HGNC:391,AKT1,AKT1
205633_s_at,ALAS1,211,5'-aminolevulinate synthase 1,ALAS1,"ALAS, ALAS-H, ALAS3, ALASH, MIG4",9606,HGNC:396,ALAS1,ALAS1
